AuthorYear;TitleStudy;Location;Continent;Latitude_N;Longitude_E;Altitude_m;StudyYear;SampleId;LandCover;LandType;Vegetation;Climate classification based on Koeppen Geiger classification;AnnualPrecip_Volume_mm;MethodLitterfall;MethodThroughfall;AnnualThroughfall_Volume_mm;Tissues;LitterfallHg_MeanConcentration_ngg;LitterfallHg_AnnualMeanFlux_ugm2yr;LitterfallMeHg_MeanConcentration_ngg;LitterfallMeHg_AnnualMeanFlux_ugm2yr;LitterfallBiomass_gm2yr;WVMC_TF_Hg_ngL;TF_AnnualMeanConcentration_Hg_ngL;TF_AnnualMeanConcentration_MeHg_ngL;TF_AnnualMeanFlux_THg_ugm2yr;TF_AnnualMeanFlux_MeHg_ugm2yr;OpenPrecipitation_AnnualMeanConcentration_MeHg_ngL;OpenPrecipitation_AnnualMeanFlux_Hg_ugm2yr;OpenPrecipitation_AnnualMeanFlux_MeHg_ugm2yr;OpenPrecipitation_AnnualMeanConcentration_Hg_ngL;Flag;DOI;;;;;;;;;
Concatenation of first author name and year of publication;Title of the study;Brief description of the area of sampling with region- administrative region or province- country;Continent of sampling (Africa;Latitude of sampling;Longitude of sampling;Above sea level altitude of sampling;Period of sampling ;Identifier of the measurement in the study. ;Description of the land cover;Categorical description of the land cover;Plant species reported in the article.;Climate classification based on Koeppen Geiger classification;Volume of annual precipitation. Most articles donÕt disentangle rain- and snow-fall. Bold values represent sites mean reported in the article ;Description of litterfall sampling procedure and period;Description of throughfall sampling procedure and period;Annual throughfall depth ;"Litterfall plant tissues collected; ÒTotalÓ refers to total collected and unsorted litterfall";Mean Hg concentration in litterfall;Annual flux of Hg deposited through litterfall.;Mean MeHg concentration in litterfall;Annual flux of MeHg deposited through litterfall.;Annual biomass deposited through litterfall;Concentration of Hg in throughfall weighted by the volume of throughfall. Note that even if this mean is more precise for mass bilan that non weighted-average only two articles explicitly reported mean Hg concentration weighted by throughfall;Annual mean concentration of Hg in throughfall;Annual mean concentration of MeHg in throughfall ;Annual mean flux of Hg in open precipitation ;Annual mean flux of MeHg in throughfall;Annual mean concentration of MeHg in open precipitation ;Annual mean flux of Hg in throughfall;Annual mean flux of MeHg in open precipitation ;Annual mean concentration of Hg in open precipitation ;Flag column with supplementary information about sampling procedure;Doi of article;;;;;;;;;
Text;Text;Text;Text;Numeric;Numeric;Numeric;Numeric;Text;Text;Categorical;Text;Categorical;Integer;Text;Text;Integer;Categorical;;;;Numerical;Numerical;Numerical;Numerical;Numerical;Numerical;Numerical;Numerical;Numerical;Numerical;Numerical;;;;;;;;;;;
;;;;Degree north (decimal);Degree east (decimal);m;YYYY -YYYY;;;;;;mm;;;mm;;ng Hg g-1;µg Hg m-2 yr-1;ng MeHg g-1;µg MeHg m-2 yr-1;g dry matter m-2 yr-1;ng Hg L-1;ng Hg L-1;ng MeHg L-1;µg Hg m-2 yr-1;µg  MeHg m-2 yr-1;ng MeHg L-1;µg Hg m-2 yr-1;µg  MeHg m-2 yr-1;ng Hg L-1;;;;;;;;;;;
;;Regional area - administrative province/region - Country;;;;;(Year star - Year end);"When provided by the study  it is used directly; otherwise it is constructed using LandType(+_Year) or Tissues(+_Year) in cases where multiple measurement types exist. Each ID corresponds to a single measurement in the study. When study provides only 1 measurement SampleId contains AuthorYear.";;"ÒDBFÓ = deciduous broadleaved forests; ÒENFÓ = evergreen needleleaved forests; ÒEBFÓ = evergreen broadleaved forests; ÒRBFÓ = raingreen broadleaved forests;""Mixed""= mixed forests;  ÒmangrovesÓ;Ó savannaÓ; urban; ÒGrasslandÓ; ÒSavannaÓ; ""Shrubland""";;"Af; Am; Aw; As; BWh; BWk; BSh; BSk; Csa; Csb; Csc; Cwa; Cwb; Cwc; Dsa; Dsb; Dsc; Dsd; Dwa; Dwb; Dwc; Dwd; Dfa; Dfb; Dfc; ET; EF";;;;;"Total; Needles; Leaves; Fruits; Bark; Misc; Twigs; Lichens";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
